Reaction,Name,Subsystem,Unconstrained_Flux,Constrained_Flux,Difference,Formula
MTHFDm,Methylenetetrahydrofolate dehydrogenase  NADP   mitochondrial,,-64.31319666848282,-0.00999999999999999,64.30319666848281,mlthf_m + nadp_m <=> methf_m + nadph_m
MTHFCm,Methenyltetrahydrifikate cyclohydrolase  mitochondrial,,-64.31319666848282,-0.00999999999999999,64.30319666848281,h2o_m + methf_m <=> 10fthf_m + h_m
MTHFC,Methenyltetrahydrofolate cyclohydrolase,,64.31319666848282,0.00999999999999999,64.30319666848281,h2o_c + methf_c <=> 10fthf_c + h_c
10FTHFtm,10-Formyltetrahydrofolate mitochondrial transport via diffusion,,64.31319666848282,0.00999999999999999,64.30319666848281,10fthf_c <=> 10fthf_m
THFtm,"5,6,7,8-Tetrahydrofolate transport, diffusion, mitochondrial",,-64.31319666848279,-0.025000000000000033,64.28819666848278,thf_c <=> thf_m
HC00900t3,"Transport of Methylmalonate, Antiport with Thio-Sulphate",,0.0,62.118333333333304,62.118333333333304,HC00900_c + tsul_e <=> HC00900_e + tsul_c
TSULt4_3,Thiosulfate transport via sodium symport,,0.0,-62.1183333333333,62.1183333333333,3.0 na1_e + tsul_e <=> 3.0 na1_c + tsul_c
r0963,Facilitated diffusion,,0.0,62.108333333333306,62.108333333333306,fol_e --> fol_c
RPI,Ribose-5-phosphate isomerase,,60.025335745742204,-0.003333333333333336,60.028669079075534,r5p_c <=> ru5p__D_c
RPE,Ribulose 5-phosphate 3-epimerase,,60.0253357457422,0.0,60.0253357457422,ru5p__D_c <=> xu5p__D_c
CYOOm3i,CYOOm3i,,0.0,53.71788413098238,53.71788413098238,4.0 focytC_m + 7.92 h_m + o2_m --> 4.0 ficytC_m + 1.96 h2o_m + 4.0 h_i + 0.02 o2s_m
PCm,Pyruvate carboxylase,,50.36553590323078,0.0,50.36553590323078,atp_m + hco3_m + pyr_m --> adp_m + h_m + oaa_m + pi_m
O2tp,O2 transport glycosome,,0.0,47.007884130982326,47.007884130982326,o2_c <=> o2_x
THD1m,NAD(P) transhydrogenase,,46.99237543747493,0.0,46.99237543747493,h_c + nadh_m + nadp_m --> h_m + nad_m + nadph_m
TALA,Transaldolase,,45.01900180930654,0.0,45.01900180930654,g3p_c + s7p_c <=> e4p_c + f6p_c
13DMThr,Demthylation of tacrolimus to 13-O-desmethyl tacrolimus in hepatocytes,,43.33842389697123,0.0,43.33842389697123,ahcys_r + h_r + tacr_r --> 13dmt_r + amet_r
1331TAALThr,"Demethylation of 13-O-desmethyl-tacrolimus to 13,31-O-Didesmethyl-tacrolimus in hepatocytes",,43.33842389697123,0.0,43.33842389697123,13dmt_r + ahcys_r + h_r --> 1331tacr_r + amet_r
13HTACRitr,13HTACRitr,,43.33842389697123,0.0,43.33842389697123,1331tacr_r <=> 1331tacr_c
TACRitr,TACRitr,,43.33842389697123,0.0,43.33842389697123,tacr_c <=> tacr_r
TACRDtsc,Uptake of tacrolimus by enterocytes,,43.33842389697123,0.0,43.33842389697123,tacr_e <=> tacr_c
1331TACRtev,"Exit of 13,31-O-Didesmethyl-tacrolimus into hepatic vein",,43.33842389697123,0.0,43.33842389697123,1331tacr_c --> 1331tacr_e
HISARGSERt,"Transport of HisArgSer, Extracellular",,41.7849341580284,0.0,41.7849341580284,h_e + hisargser_e <=> h_c + hisargser_c
HISARGSERr,Metabolism (Formation/Degradation) of HisArgSer,,41.7849341580284,0.0,41.7849341580284,2.0 h2o_c + hisargser_c <=> arg__L_c + his__L_c + ser__L_c
CO2tp,CO2 peroxisomal transport,,0.0,40.2924721122706,40.2924721122706,co2_c <=> co2_x
HCO3Em,HCO3 equilibration reaction,,50.36553590323078,13.470824037423546,36.89471186580723,co2_m + h2o_m --> h_m + hco3_m
VALTAim,Valine transaminase  mitochondiral,,-277.6543333780794,-241.39277258006476,36.26156079801464,akg_m + val__L_m <=> 3mob_m + glu__L_m
VALt5m,Valine reversible mitochondrial transport,,-277.65433337807934,-241.39277258006476,36.261560798014585,val__L_c <=> val__L_m
3MOBt2im,3-methyl-2-oxobutanoate mitochondrial transport via proton symport,,277.65433337807934,241.4027725800647,36.25156079801465,3mob_c + h_c --> 3mob_m + h_m
CO2tm,CO2 transport  diffusion   mitochondrial,,0.0,-33.43164807484705,33.43164807484705,co2_c <=> co2_m
TKT1,Transketolase,,30.012667872871102,0.003333333333333331,30.009334539537768,r5p_c + xu5p__D_c <=> g3p_c + s7p_c
TKT2,Transketolase,,30.0126678728711,0.003333333333333331,30.009334539537765,e4p_c + xu5p__D_c <=> f6p_c + g3p_c
